Time,Right_hand_fatigue,Right_hand_intermittent,Left_hand_fatigue,Left_hand_intermittent,,
17.8,32.9286520886,36.5811734174,30.9878289471,6.013208939,,
17.9,32.7130050729,28.4000647585,31.2034759629,3.43892268883,,
18,32.9286520886,5.15062087611,31.2034759629,3.22327567311,,
18.1,32.7130050729,1.49809954735,31.4191229786,3.43892268883,,
18.2,32.9286520886,1.49809954735,31.6347699943,6.66014998616,,
18.3,32.7130050729,1.71374656307,30.9878289471,23.6693083511,,
18.4,32.2817110415,2.14504059451,31.4191229786,30.5565349157,,
18.5,32.4973580572,9.03226715908,32.4973580572,31.6347699943,,
18.6,32.7130050729,29.9095938685,33.7912401515,31.2034759629,,
18.7,33.3599461201,36.149879386,33.7912401515,30.9878289471,,
18.8,32.7130050729,38.9532905903,34.0068871672,27.5374766956,,
18.9,31.4191229786,40.8941137318,34.4247032602,21.5128381939,,
19,31.85041701,38.5219965589,33.7912401515,10.9730903006,,
19.1,31.6347699943,25.6101314926,32.7130050729,4.93497386039,,
19.2,31.85041701,7.95403208048,31.85041701,3.65456970455,,
19.3,31.6347699943,2.14504059451,31.2034759629,3.65456970455,,
19.4,31.85041701,1.49809954735,30.3408879,3.65456970455,,
19.5,31.2034759629,1.49809954735,30.1252408843,3.87021672027,,
19.6,30.9878289471,1.71374656307,30.7721819314,4.08586373599,,
19.7,31.4191229786,1.71374656307,31.6347699943,4.30151075171,,
19.8,31.85041701,1.71374656307,31.85041701,4.30151075171,,
19.9,31.6347699943,1.71374656307,30.9878289471,4.51715776743,,
20,32.2817110415,1.71374656307,31.4191229786,4.51715776743,,
20.1,32.2817110415,1.71374656307,31.2034759629,4.51715776743,,
20.2,32.7130050729,1.92939357879,31.2034759629,4.51715776743,,
20.3,32.9286520886,1.92939357879,30.9878289471,4.73280478315,,
20.4,32.9286520886,1.92939357879,29.9095938685,4.51715776743,,
20.5,32.9286520886,1.92939357879,30.3408879,4.51715776743,,
20.6,33.1442991043,1.92939357879,30.7721819314,4.51715776743,,
20.7,32.9286520886,3.43892268883,31.4191229786,4.51715776743,,
20.8,32.7130050729,16.3507877551,32.9286520886,4.08586373599,,
20.9,32.7130050729,35.0716443073,34.4247032602,3.43892268883,,
21,32.7130050729,47.3500462649,35.5029383388,2.57633462595,,
21.1,32.7130050729,58.105441174,35.5029383388,2.36068761023,,
21.2,32.7130050729,68.8743140216,35.2872913231,2.36068761023,,
21.3,32.4973580572,80.9235910249,34.4247032602,2.36068761023,,
21.4,32.7130050729,89.9672877467,33.7912401515,2.36068761023,,
21.5,31.85041701,97.7171023742,33.5755931358,2.36068761023,,
21.6,32.2817110415,104.604328939,32.7130050729,2.36068761023,,
21.7,32.2817110415,109.11943833,32.2817110415,8.1696790962,,
21.8,31.4191229786,110.413320425,32.4973580572,49.7086854994,,
21.9,32.0660640257,66.7178438643,32.4973580572,77.0554226805,,
22,32.2817110415,5.58191490755,31.6347699943,84.8052373079,,
22.1,33.3599461201,1.28245253162,31.4191229786,93.4041620598,,
22.2,33.7912401515,1.28245253162,31.2034759629,93.6198090755,,
22.3,33.3599461201,1.0668055159,30.9878289471,88.0264646052,,
22.4,32.9286520886,0.851158500183,30.5565349157,49.9243325151,,
22.5,33.3599461201,1.92939357879,30.1252408843,12.9004355036,,
22.6,34.2090562445,2.14504059451,30.1252408843,5.15062087611,,
22.7,34.4247032602,2.36068761023,30.1252408843,3.43892268883,,
22.8,33.7912401515,4.73280478315,29.9095938685,2.57633462595,,
22.9,34.0068871672,18.2916108966,29.2626528214,2.79198164167,,
23,32.9286520886,53.5903317824,28.4000647585,3.22327567311,,
23.1,33.5755931358,69.7369020844,28.6157117742,4.93497386039,,
23.2,33.7912401515,74.0363644604,28.6157117742,21.7284852096,,
23.3,34.0068871672,74.0363644604,28.8313587899,67.7960789429,,
23.4,33.7912401515,74.8989525232,28.6157117742,73.3894234132,,
23.5,34.0068871672,74.2520114761,28.6157117742,77.0554226805,,
23.6,34.2090562445,75.7615405861,29.0470058057,79.1984148992,,
23.7,34.6403502759,85.0208843236,28.8313587899,82.2174731193,,
23.8,35.2872913231,97.2858083427,29.0470058057,78.3358268363,,
23.9,35.9342323702,84.3739432765,28.8313587899,57.2428531111,,
24,35.7185853545,14.4099646136,28.4000647585,20.4346031153,,
24.1,36.3655264017,2.57633462595,28.8313587899,5.36626789183,,
24.2,36.3655264017,1.71374656307,29.2626528214,3.22327567311,,
24.3,36.3655264017,1.71374656307,29.9095938685,1.92939357879,,
24.4,35.9342323702,1.71374656307,29.6939468528,1.28245253162,,
24.5,36.149879386,1.92939357879,29.6939468528,1.49809954735,,
24.6,36.7968204331,1.71374656307,29.6939468528,1.71374656307,,
24.7,36.7968204331,1.92939357879,29.2626528214,2.79198164167,,
24.8,35.9342323702,1.92939357879,29.2626528214,4.30151075171,,
24.9,35.9342323702,3.22327567311,29.6939468528,13.1160825193,,
25,35.9342323702,12.9004355036,30.3408879,64.3457266914,,
25.1,35.5029383388,44.977929092,30.3408879,91.4768168568,,
25.2,35.2872913231,70.5994901473,30.3408879,99.0109844685,,
25.3,35.0716443073,92.3394049197,30.7721819314,92.1237579039,,
25.4,35.2872913231,100.50703564,30.5565349157,68.8743140216,,
25.5,35.2872913231,101.369623703,29.9095938685,15.4881996922,,
25.6,35.2872913231,95.9919262484,30.5565349157,4.51715776743,,
25.7,35.5029383388,33.7912401515,29.6939468528,2.57633462595,,
25.8,34.6403502759,4.93497386039,29.6939468528,1.49809954735,,
25.9,34.6403502759,2.14504059451,29.9095938685,1.0668055159,,
26,34.6403502759,1.92939357879,29.9095938685,0.851158500183,,
26.1,34.4247032602,1.92939357879,29.9095938685,1.28245253162,,
26.2,34.4247032602,1.92939357879,30.3408879,1.28245253162,,
26.3,34.4247032602,1.92939357879,30.5565349157,2.14504059451,,
26.4,34.4247032602,2.14504059451,30.3408879,13.5473765507,,
26.5,34.8559972916,1.92939357879,29.9095938685,60.2619113312,,
26.6,34.6403502759,1.92939357879,29.9095938685,81.3548850564,,
26.7,35.2872913231,2.36068761023,29.6939468528,76.624128649,,
26.8,35.9342323702,6.013208939,29.4782998371,70.1681961159,,
26.9,35.7185853545,19.5720150524,29.9095938685,56.595912064,,
27,35.2872913231,53.3746847666,30.9878289471,13.7630235665,,
27.1,35.2872913231,66.5021968486,30.7721819314,5.36626789183,,
27.2,34.2090562445,80.7079440092,30.9878289471,3.65456970455,,
27.3,34.0068871672,86.0856414638,30.9878289471,3.00762865739,,
27.4,34.0068871672,87.5951705738,31.4191229786,2.57633462595,,
27.5,34.0068871672,87.8108175895,31.6347699943,2.57633462595,,
27.6,34.4247032602,89.3203466996,31.4191229786,2.79198164167,,
27.7,35.0716443073,47.9969873121,30.9878289471,3.22327567311,,
27.8,34.4247032602,7.30709103332,31.6347699943,6.22885595472,,
27.9,34.4247032602,2.36068761023,31.6347699943,12.0513253792,,
28,34.4247032602,1.71374656307,31.4191229786,23.022367304,,
28.1,35.0716443073,1.71374656307,31.6347699943,59.3993232683,,
28.2,36.149879386,1.92939357879,32.4973580572,82.2174731193,,
28.3,37.0124674488,1.71374656307,33.1442991043,85.0208843236,,
28.4,38.3063495432,1.71374656307,33.1442991043,85.2365313394,,
28.5,39.8158786532,1.49809954735,33.1442991043,80.0610029621,,
28.6,40.4628197004,2.14504059451,32.9286520886,55.7468019396,,
28.7,41.1097607475,1.71374656307,32.9286520886,16.1351407394,,
28.8,41.1097607475,4.08586373599,32.9286520886,4.51715776743,,
28.9,40.4628197004,40.2471726846,32.4973580572,3.00762865739,,
29,39.8158786532,70.5994901473,32.0660640257,3.00762865739,,
29.1,39.3845846218,78.9827678835,32.7130050729,3.22327567311,,
29.2,38.0907025274,81.5705320721,33.5755931358,3.22327567311,,
